work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,company_location,company_size
2,0,2,253,118800,84,77,1
2,3,2,241,197000,84,77,1
2,3,2,241,131000,84,77,1
2,3,2,266,250800,84,77,1
2,3,2,266,167200,84,77,1
2,3,2,266,324000,84,77,1
2,3,2,266,159000,84,77,1
2,2,2,276,266157,84,77,1
2,2,2,276,133238,84,77,1
2,2,2,211,185000,84,77,1
2,2,2,211,150000,84,77,1
2,1,2,170,180000,84,77,1
2,0,2,24,124400,84,77,1
2,0,2,24,100000,84,77,1
2,2,2,38,134000,84,77,1
2,2,2,38,129000,84,77,1
2,0,2,250,95520,84,77,1
2,0,2,250,95520,84,77,1
2,0,2,250,95520,84,77,1
2,0,2,250,95520,84,77,1
2,0,2,250,95520,84,77,1
2,0,2,250,95520,84,77,1
2,3,2,24,85000,84,77,1
2,3,2,24,75000,84,77,1
2,3,2,24,85000,84,77,1
2,3,2,24,75000,84,77,1
2,3,2,28,145000,84,77,1
2,3,2,28,108000,84,77,1
2,2,2,253,178200,84,77,1
2,2,2,253,118800,84,77,1
2,2,2,211,270000,84,77,1
2,2,2,211,190000,84,77,1
2,3,2,266,331640,84,77,1
2,3,2,266,283780,84,77,1
2,3,2,168,160000,84,77,1
2,3,2,168,125000,84,77,1
2,3,2,241,170000,84,77,1
2,3,2,241,130000,84,77,1
2,3,2,266,283780,84,77,1
2,3,2,266,233840,84,77,1
2,3,2,211,170000,84,77,1
2,3,2,211,150000,84,77,1
2,3,2,254,208000,84,77,1
2,3,2,254,147000,84,77,1
2,3,2,194,60000,11,10,1
2,3,2,194,54500,11,10,1
2,3,2,253,312200,84,77,1
2,3,2,253,175800,84,77,1
2,2,2,26,176000,84,77,1
2,2,2,26,124000,84,77,1
2,2,2,3,170000,84,77,1
2,2,2,3,155000,84,77,1
2,3,2,168,237500,84,77,1
2,3,2,168,147000,84,77,1
2,3,2,168,277000,84,77,1
2,3,2,168,170000,84,77,1
2,2,2,141,208800,84,77,1
2,2,2,141,98300,84,77,1
2,2,2,141,132500,84,77,1
2,2,2,141,117500,84,77,1
2,3,2,84,174000,84,77,1
2,3,2,84,100000,84,77,1
2,2,2,84,91000,12,11,1
2,2,2,84,68200,12,11,1
2,0,2,88,124500,84,77,1
2,0,2,88,93400,84,77,1
2,3,2,35,250200,84,77,1
2,3,2,35,117200,84,77,1
2,3,2,0,170000,84,77,1
2,3,2,0,155000,84,77,1
2,3,2,105,294000,84,77,1
2,3,2,105,137600,84,77,1
2,3,2,254,173000,84,77,1
2,3,2,254,117000,84,77,1
2,0,2,24,120000,84,77,1
2,0,2,24,79968,84,77,1
2,3,2,266,158400,84,77,1
2,3,2,266,137259,84,77,1
2,2,2,168,174000,84,77,1
2,2,2,168,118000,84,77,1
2,3,2,211,294000,84,77,1
2,3,2,211,137600,84,77,1
2,2,2,266,193200,84,77,1
2,2,2,266,128300,84,77,1
2,0,2,266,66000,84,77,1
2,0,2,266,50000,84,77,1
2,3,2,174,179000,84,77,1
2,3,2,174,112000,84,77,1
2,3,2,160,312200,84,77,1
2,3,2,160,175800,84,77,1
2,3,2,211,293800,84,77,1
2,3,2,211,165500,84,77,1
2,3,2,97,199000,84,77,1
2,3,2,97,136038,84,77,1
2,3,2,97,138000,12,11,1
2,3,2,97,84000,12,11,1
2,3,2,97,202000,84,77,1
2,3,2,97,141000,84,77,1
2,3,2,97,168000,84,77,1
2,3,2,97,113000,84,77,1
2,2,2,97,152000,84,77,1
2,2,2,97,110500,84,77,1
2,2,2,120,98900,84,77,1
2,2,2,120,65900,84,77,1
2,3,2,94,278300,84,77,1
2,3,2,94,139100,84,77,1
2,3,2,84,147900,84,77,1
2,3,2,84,103500,84,77,1
2,0,2,84,113800,84,77,1
2,0,2,84,79700,84,77,1
2,3,2,84,113800,84,77,1
2,3,2,84,79700,84,77,1
2,0,2,24,137972,84,77,1
2,0,2,24,82783,84,77,1
2,2,2,81,122100,84,77,1
2,2,2,81,65800,84,77,1
2,0,2,84,140000,84,77,1
2,0,2,84,95300,84,77,1
2,3,2,84,115000,84,77,1
2,3,2,84,98000,84,77,1
2,3,2,45,139000,84,77,1
2,3,2,45,102000,84,77,1
2,2,2,254,97800,84,77,1
2,2,2,254,71100,84,77,1
2,0,2,24,119800,84,77,1
2,0,2,24,75000,84,77,1
2,2,2,24,102300,84,77,1
2,2,2,24,80200,84,77,1
2,3,2,168,125000,84,77,1
2,3,2,168,95000,84,77,1
2,3,2,266,179400,84,77,1
2,3,2,266,110500,84,77,1
2,3,2,264,185150,84,77,1
2,3,2,264,114750,84,77,1
2,2,2,264,117300,84,77,1
2,2,2,264,86700,84,77,1
2,3,2,276,198950,84,77,1
2,3,2,276,119850,84,77,1
2,3,2,241,184000,84,77,1
2,3,2,241,117000,84,77,1
2,3,2,241,287500,84,77,1
2,3,2,241,165500,84,77,1
2,3,2,168,220000,84,77,1
2,3,2,168,110000,84,77,1
2,3,2,168,180000,84,77,1
2,3,2,168,180000,84,77,1
2,3,2,266,180000,84,77,1
2,3,2,266,276000,84,77,1
2,3,2,266,148000,84,77,1
2,3,2,36,276000,84,77,1
2,3,2,36,148000,84,77,1
2,2,2,141,143800,84,77,1
2,2,2,141,95900,84,77,1
2,3,2,141,125000,84,77,1
2,3,2,141,101000,84,77,1
2,3,2,211,168200,84,77,1
2,2,2,38,208000,84,77,1
2,2,2,38,166000,84,77,1
2,3,2,139,118000,84,77,1
2,3,2,139,82000,84,77,1
2,3,2,97,227700,84,77,1
2,3,2,97,151800,84,77,1
2,3,2,97,175100,84,77,1
2,3,2,97,103000,84,77,1
2,3,2,84,200200,84,77,1
2,3,2,84,111200,84,77,1
2,2,2,38,111078,84,77,1
2,2,2,38,80784,84,77,1
2,3,2,132,106250,31,29,1
2,3,2,132,81250,31,29,1
2,3,2,266,269640,84,77,1
2,3,2,266,163420,84,77,1
2,3,2,266,269640,84,77,1
2,3,2,266,163420,84,77,1
2,2,2,38,213400,84,77,1
